Name,Type,Breed,Breed_Corrected,Color,Color_Corrected,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
*MITEY MOUSE,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,5/22/2023,K23-045015,LOBBY,A418221,6/13/2023,8/8/2023,56,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
*OSOCITO,DOG,AUST SHEPHERD,AUST SHEPHERD,BLACK/TRICOLOR,BLACK,Neutered,MED,1/12/2023,K23-046432,DA16,A421126,10/11/2023,11/18/2023,38,CONFISCATE,FLD_ABAND,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,COUNTY,94952,"94952(38.237, -122.640695)",0,11138
*COLE,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,7/18/2023,K23-046511,LOBBY,A421316,10/18/2023,11/18/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
*MORGAN,OTHER,LOP-HOLLAND,LOP-HOLLAND,BLACK,BLACK,Neutered,SMALL,9/12/2020,K23-045498,CA01,A419258,7/24/2023,9/29/2023,67,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*SCARLET,DOG,SIBERIAN HUSKY,SIBERIAN HUSKY,RED/WHITE,RED,Spayed,MED,4/11/2020,K23-044039,DA36,A416037,3/7/2023,9/29/2023,206,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95452,"95452(38.41486, -122.55125)",1,31020
*POSH-SPICE,DOG,CHIHUAHUA LH/MIX,CHIHUAHUA LH,WHITE/TAN,WHITE,Spayed,SMALL,11/2/2021,K23-046808,DA01,A421160,11/14/2023,11/18/2023,4,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
,OTHER,CHICKEN,CHICKEN,GRAY,GRAY,Female,SMALL,,K23-046472,LS01,A421260,10/15/2023,11/18/2023,34,CONFISCATE,FLD_ABAND,ADOPTION,REFERRAL-O,UNKNOWN,PENDING,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",0,26076
*EMILY,DOG,GERM SHEPHERD,GERM SHEPHERD,BLACK/TAN,BLACK,Spayed,MED,2/28/2022,K23-045484,DA16,A419226,7/22/2023,9/30/2023,70,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
SNOWY,CAT,SIAMESE/MIX,SIAMESE,LYNX PT,LYNX PT,Neutered,KITTN,5/13/2023,K23-045985,LOBBY,A420264,9/12/2023,9/30/2023,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541355, -122.80026)",1,31428
*ULI,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,7/13/2023,K23-045592,CA03,A419416,8/1/2023,9/30/2023,60,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541355, -122.80026)",1,31428
*SADEE,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/WHITE,BRN TABBY,Spayed,KITTN,7/13/2023,K23-045590,LOBBY,A419414,9/12/2023,9/30/2023,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*MAXWELL,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY/WHITE,BRN TABBY,Neutered,SMALL,8/30/2021,K23-045749,CA02,A419755,8/17/2023,9/30/2023,44,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94901,"94901(37.9702346, -122.5260879)",1,1510
*RUSSELL,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Neutered,KITTN,7/7/2023,K23-045970,LOBBY,A420237,9/7/2023,9/30/2023,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*GIRL,OTHER,PEAFOWL,PEAFOWL,BROWN,BROWN,Female,LARGE,,K23-044910,LS03,A417977,6/2/2023,8/11/2023,70,STRAY,FIELD,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95446,"95446(38.503755, -122.993485)",1,23755
*RABBIT,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Spayed,KITTN,3/3/2023,K23-045165,LOBBY,A418629,6/27/2023,8/11/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*SULTAN,CAT,DOMESTIC MH,DOMESTIC MH,BLACK,BLACK,Neutered,SMALL,6/22/2020,K23-045077,CA02,A418390,6/17/2023,8/11/2023,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1,26076
*VOLT,CAT,DOMESTIC MH,DOMESTIC MH,GRAY,GRAY,Neutered,KITTN,5/8/2023,K23-045316,LOBBY,A418894,7/8/2023,8/11/2023,34,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*GIMLI,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Neutered,KITTN,8/5/2023,K23-046209,MISSING,A420661,9/25/2023,11/18/2023,54,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.3499842, -122.6928413)",1,1829
*LIL WAYNE,OTHER,PARAKEET,PARAKEET,PURPLE,PURPLE,Male,SMALL,,K23-045634,SMM,A419487,8/4/2023,8/12/2023,8,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1,26076
*SLATE,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Spayed,KITTN,7/13/2023,K23-046056,LOBBY,A420376,9/13/2023,11/21/2023,69,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*BERTI,CAT,DOMESTIC MH,DOMESTIC MH,BLACK,BLACK,Spayed,SMALL,8/24/2023,K23-046378,MISSING,A421033,10/8/2023,11/18/2023,41,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.3499842, -122.6928413)",1,1829
*TRENT,DOG,YORKSHIRE TERR,YORKSHIRE TERR,BLACK/BROWN,BLACK,Neutered,TOY,10/21/2021,K23-046542,DS55,A421420,10/21/2023,11/21/2023,31,STRAY,PHONE,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
*DEENA,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/TORTIE,BRN TABBY,Spayed,KITTN,7/20/2023,K23-046148,MISSING,A420505,10/17/2023,11/18/2023,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
NICO,DOG,PIT BULL/BEAGLE,PIT BULL,TRICOLOR,TRICOLOR,Neutered,SMALL,3/13/2022,K22-042168,DA06,A412755,8/18/2022,10/6/2022,49,STRAY,PHONE,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*BOB,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,8/18/2023,K23-046350,LOBBY,A420947,10/5/2023,11/21/2023,47,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*KEV,DOG,PUG,PUG,BLACK,BLACK,Neutered,SMALL,11/17/2020,K23-046526,DA16,A421354,10/18/2023,11/21/2023,34,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,,94920,"94920(37.87693, -122.461915)",1,1824
FRIDAY,CAT,DOMESTIC LH,DOMESTIC LH,WHITE/BLACK,WHITE,Neutered,SMALL,4/7/2022,K23-046369,CA02,A421018,10/7/2023,10/27/2023,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*BABY-SPICE,DOG,CHIHUAHUA LH/MIX,CHIHUAHUA LH,WHITE,WHITE,Spayed,SMALL,1/14/2023,K23-046849,DA01,A421238,11/18/2023,11/21/2023,3,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
NEFERTARI,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/TORTIE,BRN TABBY,Spayed,KITTN,5/17/2022,K22-042238,LOBBY,A412853,8/13/2022,9/10/2022,28,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*OLIVE,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY/BLUE CREAM,GRAY TABBY,Spayed,KITTN,7/5/2023,K23-045937,LOBBY,A420169,9/5/2023,10/3/2023,28,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94533,"94533(38.251455, -122.045375)",1,587
*BOB,CAT,ABYSSINIAN/DOMESTIC SH,ABYSSINIAN,AGOUTI/BRN TABBY,AGOUTI,Neutered,SMALL,7/19/2021,K23-045111,LOBBY,A418471,6/21/2023,8/15/2023,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*MIRT,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY/WHITE,BRN TABBY,Neutered,SMALL,6/30/2022,K23-045224,CA02,A418736,6/30/2023,8/15/2023,46,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*MONU,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Neutered,KITTN,4/3/2023,K23-045615,LOBBY,A419450,8/3/2023,8/15/2023,12,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
WOLFIE,CAT,DOMESTIC LH,DOMESTIC LH,BRN TABBY,BRN TABBY,Neutered,KITTN,4/29/2023,K23-045022,LOBBY,A418239,6/13/2023,7/11/2023,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95425,"95425(38.79895, -123.01762)",1,23501
MINNIE,DOG,SCHNAUZER MIN/MIX,SCHNAUZER MIN,WHITE/BLACK,WHITE,Spayed,SMALL,6/29/2020,K23-045204,DS55,A418706,6/29/2023,8/15/2023,47,STRAY,FLD_STRAY,ADOPTION,VOLUNTEER,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872, -122.890155)",1,23747
OATIE,DOG,GREAT PYRENEES,GREAT PYRENEES,WHITE,WHITE,Spayed,LARGE,8/22/2018,K23-046119,DA32,A395220,9/15/2023,10/3/2023,18,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,OUT OF COUNTY,95694,"95694(38.524675, -121.97507)",1,11111
BLONDIE,DOG,ANATOL SHEPHERD,ANATOL SHEPHERD,CREAM,CREAM,Spayed,LARGE,9/6/2017,K23-045455,DA03,A375351,7/19/2023,10/3/2023,76,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95694,"95694(38.524675, -121.97507)",1,11111
*INDY,DOG,AUST KELPIE,AUST KELPIE,BLACK/BROWN,BLACK,Spayed,MED,11/1/2022,K23-045894,DS69,A420107,9/1/2023,10/3/2023,32,STRAY,PHONE,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1,23755
*QUIX,DOG,WELSH CORGI CAR/MIX,WELSH CORGI CAR,FAWN/GRAY,FAWN,Neutered,MED,8/19/2020,K23-045776,DA16,A419817,8/19/2023,10/3/2023,45,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94533,"94533(38.251455, -122.045375)",1,587
*PEPE,CAT,DOMESTIC LH,DOMESTIC LH,BLACK/WHITE,BLACK,Neutered,KITTN,5/26/2023,K23-045856,LOBBY,A420042,8/30/2023,10/3/2023,34,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*DIANA,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Spayed,KITTN,6/26/2023,K23-045163,LOBBY,A418627,6/27/2023,10/3/2023,98,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1,23755
*DENISE,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,KITTN,7/20/2023,K23-046147,LOBBY,A420504,10/17/2023,11/22/2023,36,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*EMMY LOU,DOG,AUST CATTLE DOG,AUST CATTLE DOG,BLACK/WHITE,BLACK,Spayed,PUPPY,4/20/2023,K23-045275,DA17,A418810,7/5/2023,8/16/2023,42,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*CHANDLER,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY/WHITE,GRAY TABBY,Neutered,KITTN,4/22/2023,K23-046151,CA02,A420514,9/22/2023,11/21/2023,60,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*BOO,CAT,DOMESTIC SH,DOMESTIC SH,WHITE/BLACK,WHITE,Neutered,SMALL,3/6/2023,K23-045787,CA02,A419845,8/22/2023,10/4/2023,43,STRAY,PHONE,ADOPTION,REFERRAL-F,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*UBE,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,8/24/2023,K23-046185,LOBBY,A420582,9/22/2023,11/25/2023,64,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
PERDI,DOG,GREAT PYRENEES/MIX,GREAT PYRENEES,WHITE/BLACK,WHITE,Spayed,LARGE,8/15/2020,K23-045149,DA19,A418602,6/26/2023,8/17/2023,52,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",0,26078
*HOPE,DOG,BOXER/MIX,BOXER,WHITE,WHITE,Spayed,MED,6/29/2022,K23-045201,DA29,A418698,6/29/2023,8/17/2023,49,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95451,"95451(38.9769509, -122.8339173)",1,31019
*CLOVER,DOG,PIT BULL,PIT BULL,BROWN/WHITE,BROWN,Spayed,MED,6/14/2019,K23-045024,DA08,A418259,6/14/2023,8/17/2023,64,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1,31039
*LESLIE,CAT,DOMESTIC SH,DOMESTIC SH,GRAY,GRAY,Spayed,KITTN,5/31/2023,K23-045306,LOBBY,A418863,7/7/2023,8/17/2023,41,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*RAFIKI,DOG,GERM SHEPHERD,GERM SHEPHERD,BLACK/TAN,BLACK,Neutered,MED,3/6/2022,K23-045552,DA13,A419354,7/27/2023,11/14/2023,110,STRAY,FLD_STRAY,ADOPTION,REFERRAL-V,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
MAVERICK,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,5/4/2023,K23-045696,LOBBY,A416917,8/11/2023,8/12/2023,1,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931,"94931(38.3260186, -122.706422)",1,1832
OREO,CAT,DOMESTIC SH,DOMESTIC SH,WHITE/BLACK,WHITE,Spayed,SMALL,2/22/2023,K23-045485,LOBBY,A419227,7/22/2023,8/18/2023,27,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*QUINTIN,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,6/26/2023,K23-045161,LOBBY,A418625,6/27/2023,10/6/2023,101,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
MAVERICK,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,5/4/2023,K23-044465,WESTFARM,A416917,4/22/2023,8/4/2023,104,BORN HERE,MOM STRAY,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*WILLA,CAT,DOMESTIC MH,DOMESTIC MH,TORTIE,TORTIE,Spayed,SMALL,3/25/2023,K23-045923,CA02,A420157,9/5/2023,10/6/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*ANDY,DOG,BELG MALINOIS/MIX,BELG MALINOIS,BLACK/TAN,BLACK,Neutered,PUPPY,6/2/2023,K23-045852,DA30,A420031,8/29/2023,10/6/2023,38,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*BUG,DOG,PARSON RUSS TER/DACHSHUND,PARSON RUSS TER,WHITE/RED,WHITE,Neutered,SMALL,3/9/2023,K23-045998,DA03,A420277,9/9/2023,10/6/2023,27,STRAY,EMAIL,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94580,"94580(37.6807645, -122.12431)",1,1172
*MAGNUM,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,7/13/2023,K23-046059,LOBBY,A420379,9/13/2023,10/6/2023,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*ANNIE,CAT,DOMESTIC SH,DOMESTIC SH,WHITE/BLACK,WHITE,Spayed,KITTN,8/1/2023,K23-046125,CA03,A420467,9/16/2023,10/6/2023,20,STRAY,PHONE,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872, -122.890155)",1,23747
*SONNY,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Neutered,KITTN,3/15/2023,K23-045278,LOBBY,A418813,7/5/2023,8/19/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
CRIKEY,DOG,GERM SHEPHERD/MIX,GERM SHEPHERD,TAN/BLACK,TAN,Neutered,LARGE,1/24/2020,K23-043535,DA43,A414799,1/8/2023,8/19/2023,223,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,94923,"94923(38.35046, -123.065245)",1,1826
*BLANCHE,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/WHITE,BRN TABBY,Spayed,SMALL,8/11/2015,K23-044901,CA02,A417951,6/1/2023,8/11/2023,71,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
RILEY,DOG,BELG MALINOIS/MIX,BELG MALINOIS,BLACK/TAN,BLACK,Spayed,PUPPY,5/8/2023,K23-045408,DA32,A419061,7/14/2023,8/19/2023,36,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*CHER,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,KITTN,5/31/2023,K23-045277,LOBBY,A418812,7/5/2023,8/19/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*GLIZZY,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,SMALL,4/28/2023,K23-045556,LOBBY,A419372,7/28/2023,8/19/2023,22,STRAY,FIELD,ADOPTION,VOLUNTEER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
